2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2
2,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2
2,0,2,2,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2,2
0,0,2,2,3,3,2,0,0,2,2,2,0,0,2,2,2,2,2,2
0,2,2,3,3,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2
0,2,2,2,2,2,2,2,2,2,2,2,2,4,0,2,2,2,2,2
0,0,2,2,3,2,2,2,2,2,6,2,4,4,0,2,2,2,2,2
2,0,0,3,3,2,2,2,2,6,6,4,4,0,0,2,2,2,2,2
2,2,3,3,2,2,2,2,6,6,4,4,0,0,2,3,2,2,2,2
2,3,3,2,2,2,2,6,6,4,4,0,0,2,3,3,2,2,2,2
3,3,2,2,2,2,6,6,4,4,0,5,0,3,3,2,2,2,2,2
3,2,2,2,2,6,6,4,4,0,0,0,3,3,2,2,2,2,2,2
2,2,2,2,6,6,4,4,0,0,2,3,3,2,2,2,2,2,2,2
2,2,2,6,6,4,4,0,0,2,3,3,2,2,2,2,2,2,2,2
2,2,6,6,4,4,0,0,2,3,3,2,2,2,2,2,2,2,2,2
2,6,6,4,4,0,0,2,3,3,2,2,2,2,2,2,2,2,2,2
6,6,4,4,0,0,2,3,3,2,2,2,2,2,2,2,2,2,2,2
6,4,0,0,0,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2
4,0,0,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
